rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
15,102. 망원역 1번출구 앞,15,100,37.55564880,126.91062927,ST-4
14,103. 망원역 2번출구 앞,15,107,37.55495071,126.91083527,ST-5
13,104. 합정역 1번출구 앞,2,15,37.55073929,126.91508484,ST-6
5,105. 합정역 5번출구 앞,0,0,37.55000687,126.91482544,ST-7
12,106. 합정역 7번출구 앞,2,17,37.54864502,126.91282654,ST-8
10,107. 수협 연남동지점,3,30,37.55784607,126.91871643,ST-9
12,108. 서교동 사거리,1,8,37.55274582,126.91861725,ST-10
10,111. 상수역 2번출구 앞,6,60,37.54787064,126.92353058,ST-15
25,113. 홍대입구역 2번출구 앞,1,4,37.55743790,126.92382050,ST-18
15,114. 홍대입구역 8번출구 앞,1,7,37.55706024,126.92442322,ST-20
15,115. 마스타 빌딩 앞,4,27,37.55893326,126.92711639,ST-12
23,117. 홍은사거리,6,26,37.59115982,126.94132996,ST-17
9,118. 광흥창역 2번출구 앞,0,0,37.54773331,126.93176270,ST-19
10,119. 서강나루 공원,21,210,37.54520798,126.93146515,ST-21
5,120. 신수동 사거리,13,260,37.54524231,126.93411255,ST-22
15,121. 마포소방서 앞,4,27,37.54976654,126.93317413,ST-23
10,122. 신성기사식당 앞,6,60,37.54745865,126.93837738,ST-24
20,123. 문화촌 공원,17,85,37.59432983,126.94738770,ST-25
35,124. 서강대 정문 건너편,2,6,37.55113983,126.93698883,ST-26
20,126. 서강대 후문 옆,1,5,37.55041122,126.94384766,ST-28
9,127. 현대벤처빌 앞,1,11,37.55352020,126.93695068,ST-29
19,128. 신촌역(2호선) 1번출구 옆,3,16,37.55549622,126.93634033,ST-30
10,129. 신촌역(2호선) 6번출구 옆,0,0,37.55505371,126.93756866,ST-31
10,130. 신촌역(2호선) 7번출구 앞,2,20,37.55504990,126.93626404,ST-32
20,131. 증산2교,34,170,37.58417130,126.91110229,ST-33
15,133. 해담는다리,28,187,37.58203125,126.90899658,ST-35
8,134. 연세로 명물길,3,38,37.55789185,126.93807983,ST-36
10,135. 명물길 원형무대 앞,0,0,37.55922699,126.93984222,ST-37
10,137. 신촌기차역입구 교차로,0,0,37.55681229,126.94318390,ST-39
10,138. 신촌동 제1공영주차장 앞,0,0,37.55917740,126.93452454,ST-40
10,139. 연세대 정문 건너편,2,20,37.55986404,126.93441772,ST-43
22,140. 이화여대 후문,0,0,37.56000900,126.94073486,ST-41
10,141. 연대 대운동장 옆,1,10,37.56238174,126.93264771,ST-42
11,142. 아현역 4번출구 앞,0,0,37.55720139,126.95566559,ST-200
8,143. 공덕역 2번출구,8,100,37.54464722,126.95008850,ST-201
9,145. 공덕역 5번출구,13,144,37.54425049,126.95163727,ST-203
12,146. 마포역 2번출구 뒤,3,25,37.53993607,126.94582367,ST-204
7,147. 마포역 4번출구 뒤,13,186,37.53927231,126.94591522,ST-205
11,148. 용강동 주민센터 앞,17,155,37.54234695,126.94302368,ST-206
15,150. 서강대역 2번출구 앞,11,73,37.55295563,126.93434143,ST-207
10,153. 성산2교 사거리,2,20,37.56469727,126.91261292,ST-210
12,154. 마포구청역 ,12,100,37.56090927,126.90549469,ST-211
15,155. 가좌역1 번출구 앞,2,13,37.56829453,126.91504669,ST-212
10,156. 서울서부지방법원 앞,0,0,37.54933167,126.95491791,ST-213
12,157. 애오개역 4번출구 앞,12,100,37.55300140,126.95668793,ST-214
5,159. 이대역 4번 출구,0,0,37.55695343,126.94634247,ST-216
13,160. 북아현동 가구거리,9,69,37.55754852,126.95938110,ST-217
8,161. 무악재역1번 출구,1,13,37.58224487,126.95064545,ST-218
15,162. 봉원고가차도 밑,6,40,37.56626129,126.94667053,ST-219
6,163. 명지전문대학교 정문 앞,0,0,37.58369827,126.92496490,ST-220
10,164. 북가좌1동 주민센터 ,7,70,37.57447815,126.91004944,ST-221
20,165. 중앙근린공원,17,85,37.57513809,126.91394043,ST-222
20,166. 가재울 초등학교,27,135,37.57381821,126.91923523,ST-223
15,167. 연가초등학교 옆,3,20,37.57946014,126.91712952,ST-224
10,169. 북가좌 삼거리,0,0,37.57300186,126.90779877,ST-226
10,170. DMC파크뷰자이아파트 302동 앞,24,240,37.57311249,126.92244720,ST-227
10,171. 임광빌딩 앞,11,110,37.56472397,126.96727753,ST-228
8,173. 서대문역 8번출구 앞,6,75,37.56477737,126.96614838,ST-230
15,175. 홍연2교옆,5,33,37.57806778,126.93088531,ST-231
10,176. 명지대학교 도서관,15,150,37.58109665,126.92402649,ST-555
8,177. 북가좌 초등학교,16,200,37.57763672,126.90965271,ST-345
9,178. 증산3교 앞,8,89,37.57987595,126.90634918,ST-349
14,179. 가좌역 4번출구 앞,0,0,37.56877518,126.91529846,ST-232
10,180. 충정로역 7번출구 아래,1,10,37.55996704,126.96246338,ST-233
15,181. 망원초록길 입구,7,47,37.55134201,126.90267181,ST-339
9,182. 망원2빗물펌프장 앞,11,122,37.55136490,126.90306091,ST-340
15,183. 하늘채코오롱아파트 건너편,13,87,37.56538773,126.91932678,ST-341
8,184. 7번가피자 서교망원점,14,175,37.55894852,126.90775299,ST-342
15,185. 마포 신수공원 앞,7,47,37.54254532,126.93429565,ST-343
40,186. 월드컵공원,11,28,37.56396484,126.89820862,ST-344
9,188. 홍은동 정원여중 입구,6,67,37.58638763,126.93512726,ST-346
10,191. 서우빌딩,18,180,37.57889175,126.91073608,ST-347
8,192. 연서어린이공원,6,75,37.57222748,126.92306519,ST-348
10,194. 증산교 앞,0,0,37.57731628,126.90296936,ST-350
10,195. 모래내고가차도 ,0,0,37.56765747,126.91780853,ST-351
10,196. 연희교차로 인근,1,10,37.56612015,126.92589569,ST-352
10,198. 충정2교,1,10,37.56390762,126.96497345,ST-354
30,199. 서울 월드컵 경기장,5,17,37.56684494,126.89644623,ST-443
22,200. 국회의원회관,0,0,37.52841568,126.91391754,ST-45
15,201. 진미파라곤 앞,1,7,37.53123856,126.92133331,ST-46
30,202. 국민일보 앞,0,0,37.52881622,126.92453003,ST-47
15,203. 국회의사당역 3번출구 옆,1,7,37.52805710,126.91870117,ST-51
13,204. 국회의사당역 5번출구 옆,0,0,37.52816391,126.91702271,ST-50
20,205. 산업은행 앞,0,0,37.52626419,126.92050934,ST-52
35,206. KBS 앞,2,6,37.52466583,126.91802216,ST-53
46,207. 여의나루역 1번출구 앞,2,4,37.52715683,126.93190002,ST-73
22,209. 유진투자증권빌딩 앞,1,5,37.52461243,126.92783356,ST-55
19,213. KT앞,2,11,37.52190781,126.91895294,ST-59
21,214. 금융감독원 앞,0,0,37.52302170,126.92083740,ST-60
10,215. 여의도고교 앞,1,10,37.52483749,126.93490601,ST-64
15,217. NH농협은행 앞,0,0,37.52207947,126.93036652,ST-66
12,219. 롯데캐슬엠파이어 옆,0,0,37.52069473,126.92583466,ST-62
30,220. 미성아파트 A동 앞,0,0,37.51936340,126.92604828,ST-63
10,221. 여의도초교 앞,1,10,37.52267456,126.93778992,ST-67
12,222. 시범아파트버스정류장 옆,2,17,37.51902008,126.93688965,ST-68
